rank,team,rating,change,record,attack,defense
1,Washington Spirit,1562.7,3.9,10-3-3,0.19,0.2
2,Gotham FC,1555.0,-0.1,9-3-4,0.03,0.42
3,Kansas City Current,1547.3,-5.7,8-7-1,0.26,0.35
4,Portland Thorns FC,1522.4,0.1,8-5-4,0.1,0.14
5,Utah Royals FC,1512.3,9.3,9-4-3,-0.01,-0.09
6,Orlando Pride,1510.1,3.5,7-8-2,-0.04,0.16
7,San Diego Wave FC,1508.5,-8.7,9-6-2,0.12,0.03
8,Denver Summit FC,1502.6,-3.9,5-6-4,0.17,-0.03
9,Seattle Reign FC,1495.2,8.7,6-7-2,-0.07,0.1
10,Angel City FC,1492.9,-5.9,7-7-1,-0.0,-0.1
11,North Carolina Courage,1491.3,-9.3,6-6-3,0.09,-0.19
12,Boston Legacy FC,1484.5,5.7,5-8-4,-0.2,-0.09
13,Houston Dash,1467.4,4.7,5-7-4,-0.16,-0.13
14,Bay FC,1464.7,-4.7,5-7-3,-0.24,-0.14
15,Racing Louisville FC,1463.2,5.9,3-10-2,0.02,-0.2
16,Chicago Stars FC,1420.0,-3.5,4-12-0,-0.26,-0.44
